ipc_section,bns_section,notes
411,317(2),Dishonestly receiving stolen property
412,317(3),Dishonestly receiving property stolen in the commission of a dacoity
413,317(4),Habitually dealing in stolen property
414,317(5),Assisting in concealment of stolen property
415,318,Cheating
416,319,Cheating by personation
417,318(2),Punishment for cheating
418,318(3),Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect
419,319(2),Punishment for cheating by personation
420,318(4),Cheating and dishonestly inducing delivery of property
421,320,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors
422,321,Dishonestly or fraudulently preventing debt being available for creditors
423,322,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration
424,323,Dishonest or fraudulent removal or concealment of property
425,324,Mischief
426,324,Punishment for mischief
427,324,Mischief causing damage to the amount of fifty rupees
428,325,Mischief by killing or maiming animal of the value of ten rupees
429,325,"Mischief by killing or maiming cattle, etc., of any value or any animal of the value of fifty rupees"
430,326(a),Mischief by injury to works of irrigation or by wrongfully diverting water
431,326(b),"Mischief by injury to public road, bridge, river or channel"
432,326(c),Mischief by causing inundation or obstruction to public drainage attended with damage
433,326(d),"Mischief by destroying, moving or rendering less useful a lighthouse or seamark"
434,326(e),"Mischief by destroying or moving, etc., a landmark fixed by public authority"
435,326(f),Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees
436,326(g),"Mischief by fire or explosive substance with intent to destroy house, etc."
437,327(1),Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden
438,327(2),Punishment for the mischief described in section 437 committed by fire or explosive substance
439,328,"Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc."
440,324(6),Mischief committed after preparation made for causing death or hurt
441,329,Criminal trespass
442,330,Housetrespass
443,331,Lurking housetrespass
444,331,Lurking housetrespass by night
445,330,Housebreaking
446,331,Housebreaking by night
447,329(3),Punishment for criminal trespass
448,331,Punishment for housetrespass
449,332(a),Housetrespass in order to commit offence punishable with death
450,332(b),Housetrespass in order to commit offence punishable with imprisonment for life
451,332(c),Housetrespass in order to commit offence punishable with imprisonment
452,333,"Housetrespass after preparation for hurt, assault or wrongful restraint"
453,331,Punishment for lurking housetrespass or housebreaking
